date,keyword,platform,metric
2021-04-04,AI,GoogleTrends,9
2021-04-11,AI,GoogleTrends,8
2021-04-18,AI,GoogleTrends,9
2021-04-25,AI,GoogleTrends,9
2021-05-02,AI,GoogleTrends,8
2021-05-09,AI,GoogleTrends,9
2021-05-16,AI,GoogleTrends,8
2021-05-23,AI,GoogleTrends,9
2021-05-30,AI,GoogleTrends,9
2021-06-06,AI,GoogleTrends,9
2021-06-13,AI,GoogleTrends,9
2021-06-20,AI,GoogleTrends,8
2021-06-27,AI,GoogleTrends,8
2021-07-04,AI,GoogleTrends,9
2021-07-11,AI,GoogleTrends,9
2021-07-18,AI,GoogleTrends,9
2021-07-25,AI,GoogleTrends,8
2021-08-01,AI,GoogleTrends,8
2021-08-08,AI,GoogleTrends,9
2021-08-15,AI,GoogleTrends,8
2021-08-22,AI,GoogleTrends,8
2021-08-29,AI,GoogleTrends,8
2021-09-05,AI,GoogleTrends,9
2021-09-12,AI,GoogleTrends,9
2021-09-19,AI,GoogleTrends,9
2021-09-26,AI,GoogleTrends,8
2021-10-03,AI,GoogleTrends,9
2021-10-10,AI,GoogleTrends,9
2021-10-17,AI,GoogleTrends,9
2021-10-24,AI,GoogleTrends,10
2021-10-31,AI,GoogleTrends,10
2021-11-07,AI,GoogleTrends,10
2021-11-14,AI,GoogleTrends,9
2021-11-21,AI,GoogleTrends,9
2021-11-28,AI,GoogleTrends,9
2021-12-05,AI,GoogleTrends,10
2021-12-12,AI,GoogleTrends,10
2021-12-19,AI,GoogleTrends,9
2021-12-26,AI,GoogleTrends,9
2022-01-02,AI,GoogleTrends,11
2022-01-09,AI,GoogleTrends,10
2022-01-16,AI,GoogleTrends,9
2022-01-23,AI,GoogleTrends,10
2022-01-30,AI,GoogleTrends,10
2022-02-06,AI,GoogleTrends,10
2022-02-13,AI,GoogleTrends,11
2022-02-20,AI,GoogleTrends,10
2022-02-27,AI,GoogleTrends,10
2022-03-06,AI,GoogleTrends,10
2022-03-13,AI,GoogleTrends,11
2022-03-20,AI,GoogleTrends,11
2022-03-27,AI,GoogleTrends,11
2022-04-03,AI,GoogleTrends,11
2022-04-10,AI,GoogleTrends,11
2022-04-17,AI,GoogleTrends,10
2022-04-24,AI,GoogleTrends,10
2022-05-01,AI,GoogleTrends,10
2022-05-08,AI,GoogleTrends,10
2022-05-15,AI,GoogleTrends,10
2022-05-22,AI,GoogleTrends,10
2022-05-29,AI,GoogleTrends,9
2022-06-05,AI,GoogleTrends,10
2022-06-12,AI,GoogleTrends,11
2022-06-19,AI,GoogleTrends,11
2022-06-26,AI,GoogleTrends,11
2022-07-03,AI,GoogleTrends,10
2022-07-10,AI,GoogleTrends,10
2022-07-17,AI,GoogleTrends,10
2022-07-24,AI,GoogleTrends,10
2022-07-31,AI,GoogleTrends,11
2022-08-07,AI,GoogleTrends,12
2022-08-14,AI,GoogleTrends,11
2022-08-21,AI,GoogleTrends,11
2022-08-28,AI,GoogleTrends,11
2022-09-04,AI,GoogleTrends,11
2022-09-11,AI,GoogleTrends,11
2022-09-18,AI,GoogleTrends,12
2022-09-25,AI,GoogleTrends,12
2022-10-02,AI,GoogleTrends,13
2022-10-09,AI,GoogleTrends,13
2022-10-16,AI,GoogleTrends,13
2022-10-23,AI,GoogleTrends,13
2022-10-30,AI,GoogleTrends,12
2022-11-06,AI,GoogleTrends,13
2022-11-13,AI,GoogleTrends,13
2022-11-20,AI,GoogleTrends,13
2022-11-27,AI,GoogleTrends,15
2022-12-04,AI,GoogleTrends,22
2022-12-11,AI,GoogleTrends,21
2022-12-18,AI,GoogleTrends,18
2022-12-25,AI,GoogleTrends,16
2023-01-01,AI,GoogleTrends,16
2023-01-08,AI,GoogleTrends,18
2023-01-15,AI,GoogleTrends,18
2023-01-22,AI,GoogleTrends,20
2023-01-29,AI,GoogleTrends,23
2023-02-05,AI,GoogleTrends,24
2023-02-12,AI,GoogleTrends,23
2023-02-19,AI,GoogleTrends,23
2023-02-26,AI,GoogleTrends,22
2023-03-05,AI,GoogleTrends,22
2023-03-12,AI,GoogleTrends,24
2023-03-19,AI,GoogleTrends,27
2023-03-26,AI,GoogleTrends,28
2023-04-02,AI,GoogleTrends,29
2023-04-09,AI,GoogleTrends,32
2023-04-16,AI,GoogleTrends,37
2023-04-23,AI,GoogleTrends,41
2023-04-30,AI,GoogleTrends,45
2023-05-07,AI,GoogleTrends,44
2023-05-14,AI,GoogleTrends,44
2023-05-21,AI,GoogleTrends,42
2023-05-28,AI,GoogleTrends,40
2023-06-04,AI,GoogleTrends,41
2023-06-11,AI,GoogleTrends,45
2023-06-18,AI,GoogleTrends,40
2023-06-25,AI,GoogleTrends,40
2023-07-02,AI,GoogleTrends,40
2023-07-09,AI,GoogleTrends,40
2023-07-16,AI,GoogleTrends,44
2023-07-23,AI,GoogleTrends,40
2023-07-30,AI,GoogleTrends,41
2023-08-06,AI,GoogleTrends,39
2023-08-13,AI,GoogleTrends,42
2023-08-20,AI,GoogleTrends,38
2023-08-27,AI,GoogleTrends,38
2023-09-03,AI,GoogleTrends,38
2023-09-10,AI,GoogleTrends,38
2023-09-17,AI,GoogleTrends,40
2023-09-24,AI,GoogleTrends,42
2023-10-01,AI,GoogleTrends,44
2023-10-08,AI,GoogleTrends,44
2023-10-15,AI,GoogleTrends,42
2023-10-22,AI,GoogleTrends,42
2023-10-29,AI,GoogleTrends,43
2023-11-05,AI,GoogleTrends,46
2023-11-12,AI,GoogleTrends,43
2023-11-19,AI,GoogleTrends,47
2023-11-26,AI,GoogleTrends,46
2023-12-03,AI,GoogleTrends,48
2023-12-10,AI,GoogleTrends,48
2023-12-17,AI,GoogleTrends,44
2023-12-24,AI,GoogleTrends,41
2023-12-31,AI,GoogleTrends,45
2024-01-07,AI,GoogleTrends,45
2024-01-14,AI,GoogleTrends,51
2024-01-21,AI,GoogleTrends,50
2024-01-28,AI,GoogleTrends,50
2024-02-04,AI,GoogleTrends,47
2024-02-11,AI,GoogleTrends,50
2024-02-18,AI,GoogleTrends,57
2024-02-25,AI,GoogleTrends,50
2024-03-03,AI,GoogleTrends,52
2024-03-10,AI,GoogleTrends,53
2024-03-17,AI,GoogleTrends,52
2024-03-24,AI,GoogleTrends,54
2024-03-31,AI,GoogleTrends,48
2024-04-07,AI,GoogleTrends,50
2024-04-14,AI,GoogleTrends,55
2024-04-21,AI,GoogleTrends,53
2024-04-28,AI,GoogleTrends,52
2024-05-05,AI,GoogleTrends,52
2024-05-12,AI,GoogleTrends,54
2024-05-19,AI,GoogleTrends,55
2024-05-26,AI,GoogleTrends,57
2024-06-02,AI,GoogleTrends,56
2024-06-09,AI,GoogleTrends,57
2024-06-16,AI,GoogleTrends,53
2024-06-23,AI,GoogleTrends,50
2024-06-30,AI,GoogleTrends,49
2024-07-07,AI,GoogleTrends,51
2024-07-14,AI,GoogleTrends,49
2024-07-21,AI,GoogleTrends,52
2024-07-28,AI,GoogleTrends,51
2024-08-04,AI,GoogleTrends,55
2024-08-11,AI,GoogleTrends,56
2024-08-18,AI,GoogleTrends,57
2024-08-25,AI,GoogleTrends,61
2024-09-01,AI,GoogleTrends,59
2024-09-08,AI,GoogleTrends,60
2024-09-15,AI,GoogleTrends,62
2024-09-22,AI,GoogleTrends,62
2024-09-29,AI,GoogleTrends,60
2024-10-06,AI,GoogleTrends,62
2024-10-13,AI,GoogleTrends,63
2024-10-20,AI,GoogleTrends,65
2024-10-27,AI,GoogleTrends,64
2024-11-03,AI,GoogleTrends,68
2024-11-10,AI,GoogleTrends,68
2024-11-17,AI,GoogleTrends,73
2024-11-24,AI,GoogleTrends,64
2024-12-01,AI,GoogleTrends,71
2024-12-08,AI,GoogleTrends,76
2024-12-15,AI,GoogleTrends,68
2024-12-22,AI,GoogleTrends,59
2024-12-29,AI,GoogleTrends,60
2025-01-05,AI,GoogleTrends,74
2025-01-12,AI,GoogleTrends,68
2025-01-19,AI,GoogleTrends,73
2025-01-26,AI,GoogleTrends,81
2025-02-02,AI,GoogleTrends,81
2025-02-09,AI,GoogleTrends,81
2025-02-16,AI,GoogleTrends,80
2025-02-23,AI,GoogleTrends,79
2025-03-02,AI,GoogleTrends,79
2025-03-09,AI,GoogleTrends,84
2025-03-16,AI,GoogleTrends,83
2025-03-23,AI,GoogleTrends,85
2025-03-30,AI,GoogleTrends,100
2025-04-06,AI,GoogleTrends,82
2025-04-13,AI,GoogleTrends,80
2025-04-20,AI,GoogleTrends,89
2025-04-27,AI,GoogleTrends,80
2025-05-04,AI,GoogleTrends,79
2025-05-11,AI,GoogleTrends,85
2025-05-18,AI,GoogleTrends,85
2025-05-25,AI,GoogleTrends,85
2025-06-01,AI,GoogleTrends,86
2025-06-08,AI,GoogleTrends,96
2025-06-15,AI,GoogleTrends,88
2025-06-22,AI,GoogleTrends,93
2025-06-29,AI,GoogleTrends,95
2025-07-06,AI,GoogleTrends,88
2025-07-13,AI,GoogleTrends,82
